Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
2,13/07/2017,907,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,35
1,15/07/2017,1510,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,14
2,15/07/2017,2241,A646,Dry,4,Dark,1,Calderdale,9,1,3,1,21
2,16/07/2017,1357,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,31
2,17/07/2017,849,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,9
2,19/07/2017,750,A6036,Dry,1,Daylight,1,Calderdale,9,1,3,1,35
2,19/07/2017,1114,A644,Dry,1,Daylight,1,Calderdale,9,1,2,1,63
2,20/07/2017,843,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,38
2,20/07/2017,859,B6112,Dry,1,Daylight,1,Calderdale,9,1,3,2,29
2,21/07/2017,1758,M62,Dry,7,Dark,1,Calderdale,9,1,3,2,26
1,24/07/2017,2328,U,Dry,4,Dark,1,Calderdale,9,1,3,2,
1,29/07/2017,40,U,Wet/Damp,4,Dark,1,Calderdale,8,1,3,1,49
2,30/07/2017,822,U,Wet/Damp,1,Daylight,2,Calderdale,9,1,3,2,51
2,30/07/2017,1933,U,Dry,7,Dark,1,Calderdale,19,1,3,1,7
2,01/08/2017,1020,U,Dry,1,Daylight,1,Calderdale,19,1,3,1,47
1,05/08/2017,1550,A58,Dry,1,Daylight,1,Calderdale,5,1,2,2,44
2,06/08/2017,1530,A6033,Dry,1,Daylight,1,Calderdale,9,2,3,1,72
1,06/08/2017,1610,A672,Wet/Damp,1,Daylight,2,Calderdale,9,1,3,2,31
1,06/08/2017,1530,A672,Dry,1,Daylight,1,Calderdale,9,3,3,2,49
2,06/08/2017,2206,U,Wet/Damp,4,Dark,2,Calderdale,9,1,3,1,37
2,08/08/2017,1814,U,Wet/Damp,7,Dark,1,Calderdale,9,1,3,1,51
2,09/08/2017,735,U,Dry,1,Daylight,1,Calderdale,1,1,3,1,37
1,09/08/2017,1110,A646,Dry,1,Daylight,1,Calderdale,8,3,3,2,80
