Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
2,13/03/2015,1645,3,1,1,Daylight,1,Calderdale,9,2,3,1,10
1,15/03/2015,1115,3,1,1,Daylight,1,Calderdale,1,1,3,1,49
2,15/03/2015,1251,6,1,1,Daylight,1,Calderdale,9,1,3,2,32
2,15/03/2015,1251,6,1,1,Daylight,1,Calderdale,9,2,3,1,4
2,15/03/2015,2100,3,2,4,Dark,2,Calderdale,9,3,1,1,48
2,16/03/2015,1030,1,1,1,Daylight,1,Calderdale,9,1,3,2,34
1,18/03/2015,1910,6,1,4,Dark,1,Calderdale,9,3,3,2,18
2,20/03/2015,857,6,1,1,Daylight,1,Calderdale,4,1,2,1,22
2,20/03/2015,857,6,1,1,Daylight,1,Calderdale,9,1,3,2,36
2,20/03/2015,1140,6,1,1,Daylight,1,Calderdale,9,1,2,1,71
1,21/03/2015,1754,3,1,1,Daylight,1,Calderdale,9,3,3,1,32
2,23/03/2015,1343,3,1,1,Daylight,1,Calderdale,4,1,2,1,55
2,23/03/2015,1545,3,1,1,Daylight,1,Calderdale,4,1,3,1,61
1,23/03/2015,1658,2,1,1,Daylight,1,Calderdale,9,3,3,2,12
2,24/03/2015,815,6,1,1,Daylight,1,Calderdale,1,1,3,1,17
1,24/03/2015,835,3,1,1,Daylight,1,Calderdale,9,3,3,1,84
2,25/03/2015,1620,3,1,1,Daylight,1,Calderdale,1,1,3,1,49
2,27/03/2015,1615,6,1,1,Daylight,1,Calderdale,9,1,3,1,24
3,28/03/2015,1352,3,2,1,Daylight,1,Calderdale,9,1,3,1,40
3,28/03/2015,1352,3,2,1,Daylight,1,Calderdale,9,1,3,1,40
1,28/03/2015,1900,3,2,4,Dark,2,Calderdale,9,3,2,1,46
1,29/03/2015,1005,6,2,1,Daylight,2,Calderdale,1,1,2,1,66
1,29/03/2015,2130,6,1,4,Dark,1,Calderdale,9,3,3,2,23
1,30/03/2015,1955,6,2,6,,5,Calderdale,9,1,3,1,65
1,31/03/2015,10,1,5,4,Dark,5,Calderdale,9,2,3,2,54
1,31/03/2015,1720,3,2,1,Daylight,2,Calderdale,8,3,3,2,37
2,01/04/2015,810,3,2,1,Daylight,2,Calderdale,5,1,3,1,45
2,01/04/2015,1240,6,2,1,Daylight,1,Calderdale,9,2,3,2,29
2,01/04/2015,1240,6,2,1,Daylight,1,Calderdale,9,1,3,2,67
2,01/04/2015,1443,3,2,1,Daylight,2,Calderdale,9,1,3,2,84
1,02/04/2015,1234,3,1,1,Daylight,1,Calderdale,9,2,3,1,24
1,03/04/2015,2100,3,1,4,Dark,1,Calderdale,9,3,2,1,48
1,04/04/2015,1425,6,1,1,Daylight,1,Calderdale,9,3,2,1,3
2,04/04/2015,1813,6,1,1,Daylight,1,Calderdale,90,1,2,1,32
2,04/04/2015,2215,3,1,4,Dark,1,Calderdale,3,1,2,1,25
1,05/04/2015,1315,6,1,1,Daylight,1,Calderdale,9,3,3,1,30
2,07/04/2015,1619,4,1,1,Daylight,1,Calderdale,1,1,2,2,19
2,08/04/2015,1430,3,1,1,Daylight,1,Calderdale,1,1,3,2,9
2,09/04/2015,1248,6,1,1,Daylight,1,Calderdale,9,1,3,2,35
2,09/04/2015,1248,6,1,1,Daylight,1,Calderdale,9,2,3,1,27
1,09/04/2015,1431,6,1,1,Daylight,1,Calderdale,9,3,2,1,8
1,10/04/2015,255,3,1,4,Dark,1,Calderdale,9,1,3,2,25
1,10/04/2015,255,3,1,4,Dark,1,Calderdale,9,2,3,1,23
1,10/04/2015,255,3,1,4,Dark,1,Calderdale,9,2,3,1,23
1,10/04/2015,255,3,1,4,Dark,1,Calderdale,9,2,3,2,24
2,13/04/2015,725,3,1,1,Daylight,1,Calderdale,3,1,3,1,18
2,13/04/2015,1510,4,1,1,Daylight,1,Calderdale,1,1,3,1,51
2,14/04/2015,1617,3,1,1,Daylight,1,Calderdale,9,1,3,1,32
2,13/04/2015,1730,6,1,1,Daylight,1,Calderdale,90,1,3,1,10
2,17/04/2015,719,3,1,1,Daylight,1,Calderdale,2,1,3,2,28
2,17/04/2015,1536,3,1,1,Daylight,1,Calderdale,9,1,3,1,39
2,20/04/2015,744,4,1,1,Daylight,1,Calderdale,9,1,3,2,24
2,20/04/2015,800,3,1,1,Daylight,1,Calderdale,1,1,3,1,28
1,21/04/2015,1555,4,1,1,Daylight,1,Calderdale,9,3,3,1,13
2,22/04/2015,1527,6,1,1,Daylight,1,Calderdale,9,1,3,1,27
2,23/04/2015,745,3,1,1,Daylight,1,Calderdale,9,1,3,2,31
2,25/04/2015,920,6,2,1,Daylight,2,Calderdale,3,1,3,2,17
2,26/04/2015,9,3,1,4,Dark,1,Calderdale,9,1,3,1,25
2,26/04/2015,9,3,1,4,Dark,1,Calderdale,8,2,3,2,32
2,26/04/2015,9,3,1,4,Dark,1,Calderdale,8,1,3,1,34
2,26/04/2015,9,3,1,4,Dark,1,Calderdale,9,2,3,2,32
3,26/04/2015,1500,3,1,1,Daylight,1,Calderdale,9,2,3,2,22
3,26/04/2015,1500,3,1,1,Daylight,1,Calderdale,9,2,3,2,20
1,27/04/2015,1425,6,1,1,Daylight,1,Calderdale,3,1,3,1,29
2,27/04/2015,1644,3,1,1,Daylight,1,Calderdale,1,1,3,1,16
2,27/04/2015,1600,6,1,1,Daylight,1,Calderdale,1,1,3,1,19
1,01/05/2015,55,3,1,4,Dark,1,Calderdale,9,1,3,1,23
1,01/05/2015,55,3,1,4,Dark,1,Calderdale,9,2,3,2,23
1,01/05/2015,1840,3,1,1,Daylight,1,Calderdale,9,2,3,2,19
1,01/05/2015,1840,3,1,1,Daylight,1,Calderdale,9,2,3,2,19
1,01/05/2015,1840,3,1,1,Daylight,1,Calderdale,9,1,3,2,20
1,02/05/2015,1145,6,2,1,Daylight,2,Calderdale,9,3,3,2,64
2,03/05/2015,720,1,2,1,Daylight,2,Calderdale,19,1,3,1,30
2,03/05/2015,936,3,2,1,Daylight,2,Calderdale,9,2,3,2,43
2,03/05/2015,1034,3,2,1,Daylight,2,Calderdale,9,1,3,2,31
2,03/05/2015,1126,3,1,1,Daylight,1,Calderdale,9,1,3,1,22
2,03/05/2015,1126,3,1,1,Daylight,1,Calderdale,9,1,3,1,20
2,03/05/2015,1749,4,1,1,Daylight,1,Calderdale,3,1,3,1,32
2,04/05/2015,122,6,1,4,Dark,1,Calderdale,9,1,3,1,22
2,04/05/2015,122,6,1,4,Dark,1,Calderdale,8,1,3,1,42
2,07/05/2015,46,6,1,4,Dark,1,Calderdale,3,1,3,1,19
2,08/05/2015,1640,3,1,1,Daylight,1,Calderdale,9,1,3,2,24
2,08/05/2015,2102,6,2,1,Daylight,5,Calderdale,9,1,3,1,41
2,09/05/2015,2250,3,1,1,Daylight,1,Calderdale,1,1,3,1,43
2,09/05/2015,2325,3,1,7,Dark,1,Calderdale,9,1,3,2,60
2,10/05/2015,1415,6,1,1,Daylight,1,Calderdale,1,1,3,1,48
3,11/05/2015,1733,1,1,1,Daylight,1,Calderdale,9,1,3,2,25
3,11/05/2015,1733,1,1,1,Daylight,1,Calderdale,9,1,3,2,39
2,13/05/2015,1233,6,1,1,Daylight,1,Calderdale,9,3,3,1,74
2,14/05/2015,640,3,1,1,Daylight,1,Calderdale,1,1,3,1,14
3,14/05/2015,1015,6,1,1,Daylight,1,Calderdale,9,1,3,2,53
2,16/05/2015,830,6,1,1,Daylight,1,Calderdale,9,1,1,1,81
2,16/05/2015,830,6,1,1,Daylight,1,Calderdale,9,1,3,1,45
1,15/05/2015,1620,6,1,1,Daylight,1,Calderdale,9,3,2,1,11
1,16/05/2015,1456,6,1,1,Daylight,1,Calderdale,90,2,2,1,2
1,16/05/2015,1905,6,1,1,Daylight,1,Calderdale,9,3,3,1,8
2,17/05/2015,1300,3,1,1,Daylight,1,Calderdale,9,2,3,1,29
2,17/05/2015,1300,3,1,1,Daylight,1,Calderdale,9,1,3,1,39
1,19/05/2015,1519,6,1,1,Daylight,1,Calderdale,9,3,3,1,66
3,21/05/2015,1610,4,1,1,Daylight,1,Calderdale,9,1,3,1,18
3,21/05/2015,1610,4,1,1,Daylight,1,Calderdale,9,2,3,1,19
3,21/05/2015,1610,4,1,1,Daylight,1,Calderdale,9,2,3,2,17
3,21/05/2015,1610,4,1,1,Daylight,1,Calderdale,9,2,3,1,19
3,21/05/2015,1610,4,1,1,Daylight,1,Calderdale,9,1,3,2,54
3,21/05/2015,1610,4,1,1,Daylight,1,Calderdale,9,1,3,1,44
3,23/05/2015,1145,3,1,1,Daylight,1,Calderdale,5,1,2,1,27
1,25/05/2015,200,6,1,1,Daylight,1,Calderdale,8,3,3,1,25
3,26/05/2015,800,3,1,1,Daylight,1,Calderdale,9,1,3,1,21
1,26/05/2015,1421,3,1,1,Daylight,1,Calderdale,3,1,3,1,23
2,27/05/2015,1300,6,1,1,Daylight,1,Calderdale,9,1,3,1,23
2,27/05/2015,1300,6,1,1,Daylight,1,Calderdale,9,2,3,2,18
2,28/05/2015,1915,6,1,1,Daylight,1,Calderdale,9,1,3,1,57
2,29/05/2015,1908,6,1,1,Daylight,1,Calderdale,9,1,3,1,34
1,31/05/2015,150,6,2,6,,2,Calderdale,8,3,3,1,19
2,02/05/2015,1215,3,1,1,Daylight,1,Calderdale,5,1,3,1,53
5,01/06/2015,600,1,1,1,Daylight,1,Calderdale,9,1,3,1,53
5,01/06/2015,600,1,1,1,Daylight,1,Calderdale,9,1,3,1,23
3,01/06/2015,1705,6,2,1,Daylight,2,Calderdale,9,1,3,1,19
3,01/06/2015,1705,6,2,1,Daylight,2,Calderdale,9,1,3,1,20
4,01/06/2015,1900,3,2,1,Daylight,5,Calderdale,9,1,3,1,42
4,01/06/2015,1900,3,2,1,Daylight,5,Calderdale,9,1,3,2,41
4,01/06/2015,1900,3,2,1,Daylight,5,Calderdale,9,1,3,1,37
4,01/06/2015,1900,3,2,1,Daylight,5,Calderdale,9,1,3,1,22
2,02/06/2015,810,3,1,1,Daylight,1,Calderdale,5,1,3,1,35
2,04/06/2015,1559,3,1,1,Daylight,1,Calderdale,9,1,3,2,47
2,04/06/2015,1559,3,1,1,Daylight,1,Calderdale,9,2,3,2,27
2,04/06/2015,1559,3,1,1,Daylight,1,Calderdale,9,2,3,2,25
2,04/06/2015,1559,3,1,1,Daylight,1,Calderdale,9,2,3,2,60
2,04/06/2015,1559,3,1,1,Daylight,1,Calderdale,9,2,3,2,44
1,05/06/2015,1542,6,1,1,Daylight,1,Calderdale,9,2,3,2,10
2,05/06/2015,1903,3,1,1,Daylight,1,Calderdale,9,1,2,2,34
2,05/06/2015,1903,3,1,1,Daylight,1,Calderdale,9,1,3,2,40
2,31/05/2015,1005,3,1,1,Daylight,1,Calderdale,1,1,2,1,25
2,08/06/2015,1835,6,1,1,Daylight,1,Calderdale,9,3,2,2,9
2,08/06/2015,1930,4,1,1,Daylight,1,Calderdale,21,1,3,1,49
2,09/06/2015,1710,3,1,1,Daylight,1,Calderdale,4,1,2,2,24
2,09/06/2015,1725,3,1,1,Daylight,1,Calderdale,3,1,3,1,42
2,10/06/2015,630,3,1,1,Daylight,1,Calderdale,1,1,3,1,43
2,12/06/2015,1800,4,1,1,Daylight,1,Calderdale,1,1,3,1,19
2,13/06/2015,1110,6,1,1,Daylight,1,Calderdale,9,1,3,1,28
2,13/06/2015,1110,6,1,1,Daylight,1,Calderdale,9,2,3,2,29
3,13/06/2015,1214,3,1,1,Daylight,1,Calderdale,21,1,3,1,52
2,13/06/2015,2050,6,1,1,Daylight,1,Calderdale,9,2,3,2,24
3,15/06/2015,1045,3,1,1,Daylight,1,Calderdale,1,1,2,1,42
2,16/06/2015,1225,6,1,1,Daylight,1,Calderdale,19,1,3,1,42
2,16/06/2015,1343,3,1,1,Daylight,1,Calderdale,19,1,3,1,60
1,16/06/2015,1720,3,1,1,Daylight,1,Calderdale,11,2,3,1,3
2,17/06/2015,1252,3,2,1,Daylight,2,Calderdale,9,1,3,2,52
2,17/06/2015,1252,3,2,1,Daylight,2,Calderdale,9,1,3,2,25
1,17/06/2015,1330,3,2,1,Daylight,2,Calderdale,9,3,3,2,30
2,18/06/2015,950,3,1,1,Daylight,1,Calderdale,8,1,3,1,50
2,18/06/2015,950,3,1,1,Daylight,1,Calderdale,8,2,3,2,44
2,18/06/2015,950,3,1,1,Daylight,1,Calderdale,9,1,3,1,28
2,18/06/2015,1605,3,1,1,Daylight,4,Calderdale,1,1,3,1,51
1,18/06/2015,1715,6,1,1,Daylight,1,Calderdale,9,3,3,2,30
2,20/06/2015,1200,6,2,1,Daylight,1,Calderdale,9,1,3,1,36
1,20/06/2015,1430,6,1,1,Daylight,1,Calderdale,17,1,3,2,20
2,20/06/2015,2305,6,1,4,Dark,1,Calderdale,8,2,3,2,22
1,22/06/2015,1850,6,1,1,Daylight,1,Calderdale,4,1,2,1,17
3,23/06/2015,1730,3,1,1,Daylight,1,Calderdale,9,1,3,1,35
3,23/06/2015,1730,3,1,1,Daylight,1,Calderdale,9,2,3,2,74
2,25/06/2015,1200,3,1,1,Daylight,1,Calderdale,3,1,3,1,18
1,25/06/2015,1310,3,1,1,Daylight,1,Calderdale,9,1,3,2,71
2,25/06/2015,1320,6,1,1,Daylight,1,Calderdale,1,1,2,1,45
1,26/06/2015,2030,4,1,1,Daylight,1,Calderdale,9,2,3,1,24
2,27/06/2015,2010,3,1,1,Daylight,1,Calderdale,9,2,3,2,34
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,1,2,1,38
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,2,2,1,19
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,2,2,1,35
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,1,2,1,22
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,2,2,1,20
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,2,2,1,19
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,2,2,1,17
2,27/06/2015,2050,3,1,4,Dark,1,Calderdale,9,2,2,1,19
1,28/06/2015,2050,3,1,1,Daylight,1,Calderdale,9,3,3,1,42
3,28/06/2015,2245,6,1,4,Dark,1,Calderdale,9,2,1,2,16
3,28/06/2015,2245,6,1,4,Dark,1,Calderdale,9,2,3,2,28
3,28/06/2015,2245,6,1,4,Dark,1,Calderdale,9,1,2,2,22
1,30/06/2015,1050,3,1,1,Daylight,1,Calderdale,3,1,3,1,46
2,30/06/2015,735,3,1,1,Daylight,1,Calderdale,9,2,3,2,50
2,30/06/2015,735,3,1,1,Daylight,1,Calderdale,9,1,3,1,57
2,30/06/2015,735,3,1,1,Daylight,1,Calderdale,9,1,3,2,47
1,01/07/2015,1228,3,1,1,Daylight,1,Calderdale,21,3,3,2,86
1,01/07/2015,1645,6,1,1,Daylight,1,Calderdale,3,1,3,1,32
2,01/07/2015,1715,3,1,1,Daylight,1,Calderdale,9,2,3,1,9
2,02/07/2015,1900,3,1,1,Daylight,1,Calderdale,1,1,3,1,35
2,02/07/2015,2055,6,1,1,Daylight,1,Calderdale,9,1,3,1,46
2,02/07/2015,2055,6,1,1,Daylight,1,Calderdale,9,1,2,1,49
2,03/07/2015,705,3,1,1,Daylight,1,Calderdale,4,1,3,2,21
1,03/07/2015,1155,3,1,1,Daylight,1,Calderdale,9,3,2,1,41
2,05/07/2015,1755,3,1,1,Daylight,1,Calderdale,9,2,2,2,51
2,05/07/2015,1755,3,1,1,Daylight,1,Calderdale,9,1,3,1,62
2,05/07/2015,1755,3,1,1,Daylight,1,Calderdale,9,1,3,2,44
1,06/07/2015,1541,6,1,1,Daylight,1,Calderdale,9,3,3,2,7
1,07/07/2015,1535,6,1,1,Daylight,1,Calderdale,9,1,3,2,56
2,07/07/2015,2230,3,2,4,Dark,1,Calderdale,9,1,2,2,48
2,07/07/2015,2230,3,2,4,Dark,1,Calderdale,9,2,2,1,30
2,07/07/2015,2230,3,2,4,Dark,1,Calderdale,9,1,2,1,33
1,08/07/2015,0,6,2,1,Daylight,2,Calderdale,9,3,3,2,14
1,08/07/2015,1958,3,1,1,Daylight,1,Calderdale,9,3,2,1,8
1,03/07/2015,1250,6,1,1,Daylight,1,Calderdale,21,3,3,2,42
2,10/07/2015,1150,6,1,1,Daylight,1,Calderdale,1,1,3,1,21
3,10/07/2015,1358,3,1,1,Daylight,1,Calderdale,9,1,3,2,55
3,10/07/2015,1358,3,1,1,Daylight,1,Calderdale,9,1,3,2,45
2,12/07/2015,1114,3,1,1,Daylight,1,Calderdale,9,1,3,1,65
2,13/07/2015,1517,3,1,1,Daylight,1,Calderdale,9,1,3,1,37
2,13/07/2015,1517,3,1,1,Daylight,1,Calderdale,9,1,2,2,65
2,13/07/2015,1635,1,1,1,Daylight,1,Calderdale,9,1,3,2,47
2,14/07/2015,1327,6,1,1,Daylight,1,Calderdale,9,1,3,2,25
2,14/07/2015,1327,6,1,1,Daylight,1,Calderdale,9,1,3,2,36
2,15/07/2015,1352,6,1,1,Daylight,1,Calderdale,1,1,3,1,59
2,15/07/2015,1803,3,1,1,Daylight,1,Calderdale,3,1,2,1,54
4,16/07/2015,2255,6,1,4,Dark,1,Calderdale,9,1,3,1,32
4,16/07/2015,2255,6,1,4,Dark,1,Calderdale,9,2,3,1,19
2,17/07/2015,809,6,1,1,Daylight,1,Calderdale,9,1,3,2,57
2,17/07/2015,1630,6,1,1,Daylight,1,Calderdale,9,1,3,1,46
2,17/07/2015,1226,6,1,1,Daylight,1,Calderdale,9,1,3,2,31
2,20/07/2015,554,3,1,1,Daylight,1,Calderdale,3,1,3,1,37
2,22/07/2015,810,4,1,1,Daylight,1,Calderdale,9,1,2,2,41
1,22/07/2015,1738,3,1,1,Daylight,1,Calderdale,9,3,3,2,11
1,24/07/2015,1510,6,1,1,Daylight,1,Calderdale,9,3,3,2,25
2,24/07/2015,2200,3,1,4,Dark,1,Calderdale,9,1,3,2,39
1,24/07/2015,2315,6,1,4,Dark,1,Calderdale,9,3,2,1,24
1,25/07/2015,1224,3,1,1,Daylight,1,Calderdale,9,3,3,1,55
1,25/07/2015,1700,6,1,1,Daylight,1,Calderdale,90,3,2,1,13
2,26/07/2015,1730,6,2,1,Daylight,2,Calderdale,9,2,3,1,39
1,27/07/2015,1330,3,2,1,Daylight,2,Calderdale,3,1,3,2,17
2,28/07/2015,1636,6,1,1,Daylight,1,Calderdale,1,1,2,1,18
2,30/07/2015,810,3,2,1,Daylight,1,Calderdale,5,1,3,1,58
2,30/07/2015,1740,6,1,1,Daylight,1,Calderdale,1,1,2,1,30
2,31/07/2015,1225,3,1,1,Daylight,1,Calderdale,9,1,3,1,83
2,31/07/2015,1616,3,1,1,Daylight,1,Calderdale,9,2,2,2,34
2,31/07/2015,1615,6,1,1,Daylight,1,Calderdale,9,2,3,2,45
2,31/07/2015,1615,6,1,1,Daylight,1,Calderdale,9,1,3,1,54
2,31/07/2015,1620,3,1,1,Daylight,1,Calderdale,3,1,3,1,18
2,03/08/2015,1403,3,1,1,Daylight,1,Calderdale,4,1,3,1,
2,04/08/2015,1526,6,2,1,Daylight,2,Calderdale,9,2,3,2,26
2,06/08/2015,1907,6,1,1,Daylight,1,Calderdale,9,2,3,2,19
1,06/08/2015,2005,3,1,1,Daylight,1,Calderdale,9,1,3,2,57
2,03/08/2015,1425,3,1,1,Daylight,1,Calderdale,9,1,3,1,35
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,2,3,2,6
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,2,3,2,10
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,2,3,2,39
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,2,3,2,21
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,1,3,2,22
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,2,3,2,44
2,07/08/2015,1525,1,1,1,Daylight,1,Calderdale,9,2,3,2,18
1,07/08/2015,2120,6,1,4,Dark,1,Calderdale,9,3,3,1,44
2,08/08/2015,830,3,1,1,Daylight,1,Calderdale,1,1,3,1,45
1,08/08/2015,145,6,1,4,Dark,1,Calderdale,9,3,2,1,22
1,08/08/2015,2100,6,1,1,Daylight,1,Calderdale,9,3,3,2,12
2,11/08/2015,1914,3,1,1,Daylight,1,Calderdale,5,1,3,1,66
4,12/08/2015,814,6,1,1,Daylight,1,Calderdale,9,1,3,1,67
1,13/08/2015,1625,6,1,1,Daylight,1,Calderdale,11,3,3,1,74
1,14/08/2015,209,3,2,4,Dark,2,Calderdale,4,1,3,1,20
2,14/08/2015,1450,6,2,1,Daylight,2,Calderdale,9,2,3,2,28
2,14/08/2015,1450,6,2,1,Daylight,2,Calderdale,9,2,3,1,31
1,15/08/2015,1243,6,1,1,Daylight,1,Calderdale,9,3,1,1,46
2,16/08/2015,934,3,1,1,Daylight,1,Calderdale,9,1,3,1,51
2,17/08/2015,1150,6,1,1,Daylight,1,Calderdale,1,1,3,2,7
2,17/08/2015,2000,3,1,1,Daylight,1,Calderdale,3,1,3,1,20
2,23/08/2015,1900,3,2,1,Daylight,2,Calderdale,5,1,3,1,36
2,25/08/2015,1220,6,1,1,Daylight,1,Calderdale,9,1,3,2,55
2,25/08/2015,1220,6,1,1,Daylight,1,Calderdale,11,1,3,1,58
2,25/08/2015,1220,6,1,1,Daylight,1,Calderdale,11,2,3,2,79
1,26/08/2015,1356,3,1,1,Daylight,1,Calderdale,9,3,3,1,7
2,27/08/2015,730,3,1,1,Daylight,1,Calderdale,3,1,3,1,19
1,27/08/2015,1610,6,1,1,Daylight,1,Calderdale,9,3,3,1,9
2,27/08/2015,1655,6,1,1,Daylight,1,Calderdale,1,1,3,1,9
2,28/08/2015,1415,3,2,1,Daylight,1,Calderdale,9,2,2,2,71
2,28/08/2015,1415,3,2,1,Daylight,1,Calderdale,9,1,3,2,47
2,28/08/2015,1415,3,2,1,Daylight,1,Calderdale,9,1,3,1,68
2,28/08/2015,1415,3,2,1,Daylight,1,Calderdale,1,1,3,2,15
1,28/08/2015,2345,6,1,6,,1,Calderdale,9,1,3,1,21
1,28/08/2015,2345,6,1,6,,1,Calderdale,9,2,3,1,18
2,03/09/2015,1715,6,1,1,Daylight,1,Calderdale,3,1,3,1,23
1,03/09/2015,1837,6,1,1,Daylight,1,Calderdale,3,1,2,1,19
2,01/09/2015,1015,6,1,1,Daylight,1,Calderdale,1,1,3,1,7
1,06/09/2015,50,3,1,4,Dark,1,Calderdale,9,1,3,2,26
2,06/09/2015,1849,3,1,1,Daylight,1,Calderdale,3,1,2,1,30
1,07/09/2015,820,6,2,1,Daylight,1,Calderdale,9,3,3,1,18
2,09/09/2015,655,3,1,1,Daylight,1,Calderdale,9,1,3,1,56
2,09/09/2015,740,3,1,1,Daylight,1,Calderdale,4,1,3,1,56
2,09/09/2015,1332,3,1,1,Daylight,1,Calderdale,9,1,3,2,41
1,06/09/2015,830,6,1,1,Daylight,1,Calderdale,9,3,3,1,46
1,10/09/2015,1400,3,1,1,Daylight,1,Calderdale,9,1,3,2,53
2,11/09/2015,1510,6,1,1,Daylight,1,Calderdale,9,1,3,2,35
2,11/09/2015,1510,6,1,1,Daylight,1,Calderdale,19,1,3,1,63
1,12/09/2015,754,4,2,1,Daylight,2,Calderdale,9,1,3,1,27
2,13/09/2015,1245,3,1,1,Daylight,1,Calderdale,1,1,3,1,68
2,13/09/2015,1924,6,1,4,Dark,1,Calderdale,9,1,3,1,23
2,16/09/2015,826,3,1,1,Daylight,1,Calderdale,9,1,3,2,50
2,16/09/2015,826,3,1,1,Daylight,1,Calderdale,9,1,3,2,45
1,16/09/2015,1115,6,1,1,Daylight,1,Calderdale,9,3,3,2,25
1,16/09/2015,1248,6,1,1,Daylight,1,Calderdale,1,1,2,1,31
2,16/09/2015,1015,3,1,1,Daylight,1,Calderdale,9,1,3,1,25
4,17/09/2015,2015,6,1,4,Dark,1,Calderdale,9,1,3,2,32
4,17/09/2015,2015,6,1,4,Dark,1,Calderdale,9,1,3,2,56
1,18/09/2015,1640,6,1,1,Daylight,1,Calderdale,9,3,3,1,44
2,19/09/2015,1550,3,1,1,Daylight,1,Calderdale,1,1,3,1,63
2,21/09/2015,1731,6,1,1,Daylight,1,Calderdale,9,1,3,1,59
2,22/09/2015,830,3,1,1,Daylight,1,Calderdale,9,1,3,2,18
2,24/09/2015,1005,6,2,1,Daylight,1,Calderdale,2,1,3,2,22
2,24/09/2015,2240,3,1,4,Dark,1,Calderdale,9,1,3,2,23
2,24/09/2015,2240,3,1,4,Dark,1,Calderdale,9,1,3,2,46
1,25/09/2015,805,6,1,1,Daylight,1,Calderdale,9,3,3,1,11
2,25/09/2015,1226,3,1,1,Daylight,1,Calderdale,9,2,3,2,47
2,27/09/2015,825,3,1,1,Daylight,1,Calderdale,9,1,3,2,55
2,27/09/2015,1500,6,1,1,Daylight,1,Calderdale,1,1,3,1,50
2,27/09/2015,1710,3,1,1,Daylight,1,Calderdale,9,1,3,1,20
1,28/09/2015,1023,3,1,1,Daylight,1,Calderdale,11,3,2,1,61
2,28/09/2015,1608,6,1,1,Daylight,1,Calderdale,9,3,3,1,16
1,28/09/2015,950,3,1,1,Daylight,1,Calderdale,11,2,3,1,78
2,29/09/2015,2005,6,1,4,Dark,1,Calderdale,9,2,3,2,47
1,30/09/2015,1541,3,1,1,Daylight,1,Calderdale,9,3,2,1,10
2,01/10/2015,1640,6,1,1,Daylight,1,Calderdale,9,1,3,2,25
2,01/10/2015,1640,6,1,1,Daylight,1,Calderdale,9,2,3,2,29
1,01/10/2015,1830,6,1,1,Daylight,1,Calderdale,9,3,3,2,5
1,02/10/2015,1209,6,1,1,Daylight,1,Calderdale,9,3,2,1,1
2,02/10/2015,1620,3,1,1,Daylight,1,Calderdale,5,1,3,1,35
2,02/10/2015,1620,3,1,1,Daylight,1,Calderdale,9,1,3,1,36
2,03/10/2015,1825,6,1,1,Daylight,1,Calderdale,1,1,3,1,6
1,02/10/2015,2115,6,1,4,Dark,1,Calderdale,9,3,3,1,63
4,04/10/2015,740,6,1,1,Daylight,1,Calderdale,9,1,3,1,24
2,04/10/2015,1240,3,1,1,Daylight,1,Calderdale,9,1,3,1,27
3,05/10/2015,1230,3,1,1,Daylight,1,Calderdale,9,1,3,1,53
3,05/10/2015,1230,3,1,1,Daylight,1,Calderdale,9,2,3,1,19
2,06/10/2015,1945,6,1,4,Dark,1,Calderdale,1,1,3,1,16
2,07/10/2015,655,3,2,4,Dark,2,Calderdale,1,1,3,1,28
1,09/10/2015,1700,6,1,1,Daylight,1,Calderdale,9,3,3,1,5
2,10/10/2015,1219,3,1,1,Daylight,1,Calderdale,9,1,3,2,32
2,10/10/2015,1219,3,1,1,Daylight,1,Calderdale,9,1,3,1,41
1,10/10/2015,1527,6,1,1,Daylight,1,Calderdale,9,3,2,2,13
2,11/10/2015,1933,3,1,4,Dark,1,Calderdale,9,1,2,1,26
2,11/10/2015,1933,3,1,4,Dark,1,Calderdale,9,1,2,1,19
2,12/10/2015,741,2,1,1,Daylight,1,Calderdale,5,1,2,1,37
1,12/10/2015,1618,6,1,1,Daylight,1,Calderdale,9,3,3,1,7
2,13/10/2015,1409,3,1,1,Daylight,1,Calderdale,9,1,3,2,59
2,14/10/2015,1145,3,1,1,Daylight,1,Calderdale,9,1,3,2,54
2,14/10/2015,1145,3,1,1,Daylight,1,Calderdale,9,1,2,1,83
2,15/10/2015,1422,6,1,1,Daylight,1,Calderdale,9,1,3,1,28
2,16/10/2015,1620,6,1,1,Daylight,1,Calderdale,18,1,3,1,47
